SR_NUMBER,SR_TYPE,SR_SHORT_CODE,OWNER_DEPARTMENT,STATUS,CREATED_DATE,LAST_MODIFIED_DATE,CLOSED_DATE,STREET_ADDRESS,CITY,STATE,ZIP_CODE,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,DUPLICATE,LEGACY_RECORD,LEGACY_SR_NUMBER,PARENT_SR_NUMBER,COMMUNITY_AREA,WARD,ELECTRICAL_DISTRICT,ELECTRICITY_GRID,POLICE_SECTOR,POLICE_DISTRICT,POLICE_BEAT,PRECINCT,SANITATION_DIVISION_DAYS,CREATED_HOUR,CREATED_DAY_OF_WEEK,CREATED_MONTH,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,LOCATION
SR22-00501915,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,03/28/2022 1:07:13 PM,03/28/2022 1:07:14 PM,03/28/2022 1:07:14 PM,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
SR22-00501914,Business Complaints / Reopening Issue,RBL,BACP - Business Affairs and Consumer Protection,Open,03/28/2022 1:07:12 PM,03/28/2022 1:07:20 PM,,1000 N HALSTED ST,,,60642,1000,N,HALSTED,ST,FALSE,FALSE,,,8,27,,N020,2,18,1822,35,,13,2,3,1170764.375,1907118.076,41.90062096,-87.64821894,"(41.90062095909911°, -87.64821893974789°)"
SR22-00501913,Sign Repair Request - All Other Signs,PCE,CDOT - Department of Transportation,Completed,03/28/2022 1:07:12 PM,03/28/2022 1:08:20 PM,03/28/2022 1:08:20 PM,1403 W BERTEAU AVE,,,60613,1403,W,BERTEAU,AVE,FALSE,FALSE,,,6,47,,M012,1,19,1912,18,,13,2,3,1166064.583,1927967.193,41.95793379,-87.66488444,"(41.957933793928554°, -87.66488443996954°)"
SR22-00501912,Pothole in Street Complaint,PHF,CDOT - Department of Transportation,Open,03/28/2022 1:07:09 PM,03/28/2022 1:07:11 PM,,6528 N TALMAN AVE,,,60645,6528,N,TALMAN,AVE,FALSE,FALSE,,,2,50,,J006,1,24,2412,36,,13,2,3,1157388.861,1943350.269,42.00032698,-87.69635888,"(42.00032698035619°, -87.6963588795435°)"
SR22-00501911,Alley Pothole Complaint,PHB,CDOT - Department of Transportation,Open,03/28/2022 1:07:05 PM,03/28/2022 1:07:06 PM,,4446 N KEDZIE AVE,,,60625,4446,N,KEDZIE,AVE,FALSE,FALSE,,,14,33,,H011,2,17,1724,20,,13,2,3,1154215.444,1929578.656,41.96260112,-87.70840289,"(41.96260111833504°, -87.70840288589135°)"
SR22-00501910,Alley Light Out Complaint,SFA,CDOT - Department of Transportation,Open,03/28/2022 1:06:49 PM,03/28/2022 1:06:49 PM,,5142 S SACRAMENTO AVE,,,60632,5142,S,SACRAMENTO,AVE,TRUE,FALSE,,SR22-00458918,63,14,,I034,2,9,923,30,,13,2,3,1157221.162,1870225.427,41.79966942,-87.69896499,"(41.79966942289527°, -87.69896499282801°)"
SR22-00501909,Aircraft Noise Complaint,AVN,Aviation,Completed,03/28/2022 1:06:47 PM,03/28/2022 1:06:48 PM,03/28/2022 1:06:47 PM,10510 W ZEMKE RD,Chicago,IL,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
SR22-00501908,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,03/28/2022 1:06:46 PM,03/28/2022 1:06:46 PM,03/28/2022 1:06:46 PM,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
SR22-00501907,Graffiti Removal Request,GRAF,Streets and Sanitation,Open,03/28/2022 1:06:45 PM,03/28/2022 1:06:46 PM,,107 W MADISON ST,,,60602,107,W,MADISON,ST,FALSE,FALSE,,,32,42,,P023,2,1,122,9,,13,2,3,1175457.925,1900333.858,41.88190055,-87.63118335,"(41.881900547930876°, -87.6311833452523°)"
SR22-00501906,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,03/28/2022 1:06:42 PM,03/28/2022 1:06:43 PM,03/28/2022 1:06:43 PM,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,FALSE,FALSE,,,,,,,,,,,,13,2,3,,,,,
